name,food_category,storageMethod,shelfLifeDays,allergenTags,nutrition,desc
우유,DAIRY,REFRIGERATED,7,"DAIRY","PROTEIN,CALCIUM","신선한 우유"
계란,EGG,REFRIGERATED,14,"EGG","PROTEIN,VITAMINS","유기농 계란"
쌀,GRAINS,ROOM_TEMPERATURE,365,,"CARBOHYDRATES","보관이 용이한 쌀"
사과,FRUIT,REFRIGERATED,30,,"VITAMINS,FIBER","신선한 사과, 비타민 C가 풍부"
소고기,MEAT,FROZEN,90,,"PROTEIN,IRON,FAT","냉동 보관용 소고기"
배추,VEGETABLE,REFRIGERATED,14,,"FIBER,VITAMINS","김치 담그는 데 쓰는 배추"
고등어,SEAFOOD,FROZEN,60,"FISH","PROTEIN,OMEGA_3","지방이 풍부한 생선"
감자,VEGETABLE,ROOM_TEMPERATURE,60,,"CARBOHYDRATES,VITAMINS","서늘한 곳에 보관해야 하는 감자"
아몬드,NUTS,ROOM_TEMPERATURE,180,"TREENUT","FIBER,VITAMINS","건강한 간식 아몬드"
표고버섯,MUSHROOM,REFRIGERATED,10,,"FIBER,MINERALS","향이 좋은 표고버섯"